txn_date,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,new_recovered,total_recovered
2020-01-12,1,1,0,0,0,0,0,0
2020-01-13,0,1,0,0,0,0,0,0
2020-01-14,0,1,0,0,0,0,0,0
2020-01-15,0,1,0,0,0,0,0,0
2020-01-16,0,1,0,0,0,0,0,0
2020-01-17,1,2,0,0,0,0,0,0
2020-01-18,0,2,0,0,0,0,0,0
2020-01-19,0,2,0,0,0,0,0,0
2020-01-20,0,2,0,0,0,0,0,0
2020-01-21,0,2,0,0,0,0,0,0
2020-01-22,2,4,0,0,0,0,0,0
2020-01-23,0,4,0,0,0,0,0,0
2020-01-24,1,5,0,0,0,0,0,0
2020-01-25,1,6,0,0,0,0,0,0
2020-01-26,2,8,0,0,0,0,0,0
2020-01-27,0,8,0,0,0,0,0,0
2020-01-28,6,14,3,3,0,0,0,0
2020-01-29,0,14,0,3,0,0,0,0
2020-01-30,0,14,0,3,0,0,0,0
2020-01-31,5,19,1,4,0,0,0,0
2020-02-01,0,19,0,4,0,0,0,0
2020-02-02,0,19,0,4,0,0,0,0
2020-02-03,0,19,0,4,0,0,0,0
2020-02-04,6,25,2,6,0,0,0,0
2020-02-05,0,25,0,6,0,0,0,0
2020-02-06,0,25,0,6,0,0,0,0
2020-02-07,0,25,0,6,0,0,0,0
2020-02-08,7,32,5,11,0,0,0,0
2020-02-09,0,32,0,11,0,0,0,0
2020-02-10,0,32,0,11,0,0,0,0
2020-02-11,1,33,1,12,0,0,0,0
2020-02-12,0,33,0,12,0,0,0,0
2020-02-13,0,33,0,12,0,0,0,0
2020-02-14,0,33,0,12,0,0,0,0
2020-02-15,1,34,1,13,0,0,0,0
2020-02-16,0,34,0,13,0,0,0,0
2020-02-17,1,35,1,14,0,0,0,0
2020-02-18,0,35,0,14,0,0,0,0
2020-02-19,0,35,0,14,0,0,0,0
2020-02-20,0,35,0,14,0,0,0,0
2020-02-21,0,35,0,14,0,0,0,0
2020-02-22,0,35,0,14,0,0,0,0
2020-02-23,0,35,0,14,0,0,0,0
2020-02-24,0,35,0,14,0,0,0,0
2020-02-25,2,37,2,16,0,0,0,0
2020-02-26,3,40,2,18,0,0,0,0
2020-02-27,0,40,0,18,0,0,0,0
2020-02-28,1,41,0,18,0,0,0,0
2020-02-29,1,42,1,19,0,0,0,0
2020-03-01,0,42,0,19,1,1,0,0
2020-03-02,1,43,1,20,0,1,0,0
2020-03-03,0,43,0,20,0,1,0,0
2020-03-04,0,43,0,20,0,1,0,0
2020-03-05,4,47,0,20,0,1,0,0
2020-03-06,1,48,0,20,0,1,0,0
2020-03-07,2,50,0,20,0,1,0,0
2020-03-08,0,50,0,20,0,1,0,0
2020-03-09,0,50,0,20,0,1,0,0
2020-03-10,3,53,2,22,0,1,33,33
2020-03-11,6,59,5,27,0,1,1,34
2020-03-12,13,72,13,40,0,1,1,35
2020-03-13,3,75,0,40,0,1,0,35
2020-03-14,7,82,5,45,0,1,0,35
2020-03-15,32,114,22,67,0,1,2,37
2020-03-16,33,147,23,90,0,1,1,38
2020-03-17,30,177,18,108,0,1,3,41
2020-03-18,35,212,35,143,0,1,1,42
2020-03-19,60,272,46,189,0,1,0,42
2020-03-20,50,322,39,228,0,1,1,43
2020-03-21,89,411,74,302,0,1,1,44
2020-03-22,188,599,162,464,0,1,1,45
2020-03-23,122,721,104,568,0,1,7,52
2020-03-24,106,827,74,642,4,5,5,57
2020-03-25,107,934,79,721,0,5,13,70
2020-03-26,111,1045,93,814,0,5,18,88
2020-03-27,91,1136,74,888,0,5,9,97
2020-03-28,108,1244,90,978,1,6,3,100
2020-03-29,141,1385,121,1099,1,7,11,111
2020-03-30,138,1523,117,1216,2,9,16,127
2020-03-31,128,1651,103,1319,1,10,215,342
2020-04-01,120,1771,87,1406,2,12,74,416
2020-04-02,104,1875,80,1486,3,15,89,505
2020-04-03,103,1978,78,1564,4,19,76,581
2020-04-04,89,2067,67,1631,1,20,31,612
2020-04-05,102,2169,86,1717,3,23,62,674
2020-04-06,51,2220,46,1763,3,26,119,793
2020-04-07,38,2258,35,1798,1,27,31,824
2020-04-08,111,2369,66,1864,5,32,64,888
2020-04-09,54,2423,44,1908,0,32,52,940
2020-04-10,50,2473,47,1955,1,33,73,1013
2020-04-11,45,2518,33,1988,2,35,122,1135
2020-04-12,33,2551,28,2016,3,38,83,1218
2020-04-13,28,2579,24,2040,2,40,70,1288
2020-04-14,34,2613,31,2071,1,41,117,1405
2020-04-15,30,2643,27,2098,2,43,92,1497
2020-04-16,29,2672,27,2125,3,46,96,1593
2020-04-17,28,2700,27,2152,1,47,96,1689
2020-04-18,33,2733,27,2179,0,47,98,1787
2020-04-19,32,2765,27,2206,0,47,141,1928
2020-04-20,27,2792,24,2230,0,47,71,1999
2020-04-21,19,2811,17,2247,2,49,109,2108
2020-04-22,15,2826,14,2261,0,49,244,2352
2020-04-23,13,2839,12,2273,1,50,78,2430
2020-04-24,15,2854,14,2287,0,50,60,2490
2020-04-25,53,2907,53,2340,1,51,57,2547
2020-04-26,15,2922,10,2350,0,51,47,2594
2020-04-27,9,2931,7,2357,1,52,15,2609
2020-04-28,7,2938,7,2364,2,54,43,2652
2020-04-29,9,2947,9,2373,0,54,13,2665
