txn_date,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,new_recovered,total_recovered,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,total_tests,new_tests,reproduction_rate
1/12/2020,1,1,0,0,0,0,0,0,,,,,,0,,,,50,6,
1/13/2020,0,1,0,0,0,0,0,0,,,,,,0,,,,64,14,
1/14/2020,0,1,0,0,0,0,0,0,,,,,,0,,,,71,7,
1/15/2020,0,1,0,0,0,0,0,0,,,,,,0,,,,83,12,
1/16/2020,0,1,0,0,0,0,0,0,,,,,,0,,,,92,9,
1/17/2020,1,2,0,0,0,0,0,0,,,,,,0,,,,97,5,
1/18/2020,0,2,0,0,0,0,0,0,,,,,,0,,,,120,23,
1/19/2020,0,2,0,0,0,0,0,0,,,,,,0,,,,126,6,
1/20/2020,0,2,0,0,0,0,0,0,,,,,,0,,,,174,48,
1/21/2020,0,2,0,0,0,0,0,0,,,,,,0,,,,186,12,
1/22/2020,2,4,0,0,0,0,0,0,,,,,,0,,,,194,8,
1/23/2020,0,4,0,0,0,0,0,0,,,,,,0,,,,218,24,
1/24/2020,1,5,0,0,0,0,0,0,,,,,,0,,,,237,19,
1/25/2020,1,6,0,0,0,0,0,0,,,,,,0,,,,263,26,
1/26/2020,2,8,0,0,0,0,0,0,,,,,,0,,,,324,61,
1/27/2020,0,8,0,0,0,0,0,0,,,,,,0,,,,383,59,
1/28/2020,6,14,3,3,0,0,0,0,,,,,,0,,,,461,78,
1/29/2020,0,14,0,3,0,0,0,0,,,,,,0,,,,569,108,
1/30/2020,0,14,0,3,0,0,0,0,,,,,,0,,,,704,135,
1/31/2020,5,19,1,4,0,0,0,0,,,,,,0,2428.4,5.43,5.43,846,142,
2/1/2020,0,19,0,4,0,0,0,0,,,,,,0,,,,1070,224,
2/2/2020,0,19,0,4,0,0,0,0,,,,,,0,,,,1223,153,
2/3/2020,0,19,0,4,0,0,0,0,,,,,,0,,,,1351,128,
2/4/2020,6,25,2,6,0,0,0,0,,,,,,0,,,,1586,235,
2/5/2020,0,25,0,6,0,0,0,0,,,,,,0,,,,1973,387,
2/6/2020,0,25,0,6,0,0,0,0,,,,,,0,,,,2178,205,
2/7/2020,0,25,0,6,0,0,0,0,,,,,,0,,,,2330,152,
2/8/2020,7,32,5,11,0,0,0,0,,,,,,0,,,,2434,104,
2/9/2020,0,32,0,11,0,0,0,0,,,,,,0,,,,2495,61,
2/10/2020,0,32,0,11,0,0,0,0,,,,,,0,,,,2546,51,
2/11/2020,1,33,1,12,0,0,0,0,,,,,,0,,,,2611,65,
