txn_date,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death
2020-01-12,กระบี่,0,0,0,0,0,0
2020-01-12,กรุงเทพมหานคร,1,1,0,0,0,0
2020-01-12,กาญจนบุรี,0,0,0,0,0,0
2020-01-12,กาฬสินธุ์,0,0,0,0,0,0
2020-01-12,กำแพงเพชร,0,0,0,0,0,0
2020-01-12,ขอนแก่น,0,0,0,0,0,0
2020-01-12,จันทบุรี,0,0,0,0,0,0
2020-01-12,ฉะเชิงเทรา,0,0,0,0,0,0
2020-01-12,ชลบุรี,0,0,0,0,0,0
2020-01-12,ชัยนาท,0,0,0,0,0,0
2020-01-12,ชัยภูมิ,0,0,0,0,0,0
2020-01-12,ชุมพร,0,0,0,0,0,0
2020-01-12,ตรัง,0,0,0,0,0,0
2020-01-12,ตราด,0,0,0,0,0,0
2020-01-12,ตาก,0,0,0,0,0,0
2020-01-12,นครนายก,0,0,0,0,0,0
2020-01-12,นครปฐม,0,0,0,0,0,0
2020-01-12,นครพนม,0,0,0,0,0,0
2020-01-12,นครราชสีมา,0,0,0,0,0,0
2020-01-12,นครศรีธรรมราช,0,0,0,0,0,0
2020-01-12,นครสวรรค์,0,0,0,0,0,0
2020-01-12,นนทบุรี,0,0,0,0,0,0
2020-01-12,นราธิวาส,0,0,0,0,0,0
2020-01-12,น่าน,0,0,0,0,0,0
2020-01-12,บึงกาฬ,0,0,0,0,0,0
2020-01-12,บุรีรัมย์,0,0,0,0,0,0
2020-01-12,ปทุมธานี,0,0,0,0,0,0
2020-01-12,ประจวบคีรีขันธ์,0,0,0,0,0,0
2020-01-12,ปราจีนบุรี,0,0,0,0,0,0
2020-01-12,ปัตตานี,0,0,0,0,0,0
2020-01-12,พระนครศรีอยุธยา,0,0,0,0,0,0
2020-01-12,พะเยา,0,0,0,0,0,0
2020-01-12,พังงา,0,0,0,0,0,0
2020-01-12,พัทลุง,0,0,0,0,0,0
2020-01-12,พิจิตร,0,0,0,0,0,0
2020-01-12,พิษณุโลก,0,0,0,0,0,0
2020-01-12,ภูเก็ต,0,0,0,0,0,0
2020-01-12,มหาสารคาม,0,0,0,0,0,0
2020-01-12,มุกดาหาร,0,0,0,0,0,0
2020-01-12,ยะลา,0,0,0,0,0,0
