txn_date,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,update_date
2021-04-01,กระบี่,0,27,0,20,0,0,2022-01-19 07:23:51
2021-04-01,กรุงเทพมหานคร,11,4855,7,3485,0,35,2022-01-19 07:23:51
2021-04-01,กาญจนบุรี,0,16,0,14,0,0,2022-01-19 07:23:51
2021-04-01,กาฬสินธุ์,0,4,0,4,0,0,2022-01-19 07:23:51
2021-04-01,กำแพงเพชร,0,2,0,2,0,0,2022-01-19 07:23:51
2021-04-01,ขอนแก่น,0,20,0,19,0,0,2022-01-19 07:23:51
2021-04-01,จันทบุรี,0,224,0,223,0,1,2022-01-19 07:23:51
2021-04-01,ฉะเชิงเทรา,0,45,0,43,0,1,2022-01-19 07:23:51
2021-04-01,ชลบุรี,1,1495,0,733,0,5,2022-01-19 07:23:51
2021-04-01,ชัยนาท,0,11,0,11,0,0,2022-01-19 07:23:51
2021-04-01,ชัยภูมิ,0,11,0,10,0,0,2022-01-19 07:23:51
2021-04-01,ชุมพร,0,21,0,21,0,3,2022-01-19 07:23:51
2021-04-01,ตรัง,0,12,0,10,0,0,2022-01-19 07:23:51
2021-04-01,ตราด,0,33,0,33,0,0,2022-01-19 07:23:51
2021-04-01,ตาก,0,322,0,217,0,2,2022-01-19 07:23:51
2021-04-01,นครนายก,0,18,0,18,0,0,2022-01-19 07:23:51
2021-04-01,นครปฐม,0,193,0,189,0,1,2022-01-19 07:23:51
2021-04-01,นครพนม,0,3,0,3,0,0,2022-01-19 07:23:51
2021-04-01,นครราชสีมา,0,32,0,30,0,0,2022-01-19 07:23:51
2021-04-01,นครศรีธรรมราช,0,16,0,14,0,1,2022-01-19 07:23:51
2021-04-01,นครสวรรค์,0,15,0,11,0,0,2022-01-19 07:23:51
2021-04-01,นนทบุรี,0,460,0,341,0,3,2022-01-19 07:23:51
2021-04-01,นราธิวาส,0,68,0,22,0,2,2022-01-19 07:23:51
2021-04-01,น่าน,0,1,0,1,0,0,2022-01-19 07:23:51
2021-04-01,บึงกาฬ,0,0,0,0,0,0,2022-01-19 07:23:51
2021-04-01,บุรีรัมย์,0,15,0,11,0,1,2022-01-19 07:23:51
2021-04-01,ปทุมธานี,0,815,0,801,0,5,2022-01-19 07:23:51
2021-04-01,ประจวบคีรีขันธ์,0,25,0,13,0,2,2022-01-19 07:23:51
2021-04-01,ปราจีนบุรี,0,21,0,20,0,1,2022-01-19 07:23:51
2021-04-01,ปัตตานี,0,97,0,54,0,1,2022-01-19 07:23:51
2021-04-01,พระนครศรีอยุธยา,0,68,0,67,0,1,2022-01-19 07:23:51
2021-04-01,พะเยา,0,4,0,3,0,1,2022-01-19 07:23:51
2021-04-01,พังงา,0,2,0,2,0,0,2022-01-19 07:23:51
2021-04-01,พัทลุง,0,17,0,17,0,0,2022-01-19 07:23:51
2021-04-01,พิจิตร,0,10,0,9,0,1,2022-01-19 07:23:51
2021-04-01,พิษณุโลก,0,7,0,6,0,0,2022-01-19 07:23:51
2021-04-01,ภูเก็ต,0,231,0,212,0,3,2022-01-19 07:23:51
2021-04-01,มหาสารคาม,0,22,0,22,0,2,2022-01-19 07:23:51
2021-04-01,มุกดาหาร,0,6,0,6,0,0,2022-01-19 07:23:51
2021-04-01,ยะลา,0,147,0,89,0,2,2022-01-19 07:23:51
2021-04-01,ยโสธร,0,2,0,1,0,0,2022-01-19 07:23:51
2021-04-01,ระนอง,0,1,0,1,0,0,2022-01-19 07:23:51
2021-04-01,ระยอง,0,602,0,601,0,1,2022-01-19 07:23:51
2021-04-01,ราชบุรี,0,59,0,55,0,0,2022-01-19 07:23:51
2021-04-01,ร้อยเอ็ด,0,4,0,4,0,0,2022-01-19 07:23:51
2021-04-01,ลพบุรี,0,24,0,24,0,0,2022-01-19 07:23:51
2021-04-01,ลำปาง,0,7,0,7,0,0,2022-01-19 07:23:51
2021-04-01,ลำพูน,0,6,0,6,0,0,2022-01-19 07:23:51
2021-04-01,ศรีสะเกษ,0,9,0,8,0,0,2022-01-19 07:23:51
2021-04-01,สกลนคร,0,1,0,1,0,0,2022-01-19 07:23:51
2021-04-01,สงขลา,0,149,0,87,0,0,2022-01-19 07:23:51
2021-04-01,สตูล,0,24,0,2,0,0,2022-01-19 07:23:51
2021-04-01,สมุทรปราการ,3,816,3,499,0,4,2022-01-19 07:23:51
2021-04-01,สมุทรสงคราม,0,75,0,74,0,1,2022-01-19 07:23:51
2021-04-01,สมุทรสาคร,11,17134,11,17134,0,11,2022-01-19 07:23:51
2021-04-01,สระบุรี,0,23,0,22,0,0,2022-01-19 07:23:51
2021-04-01,สระแก้ว,0,15,0,9,0,0,2022-01-19 07:23:51
2021-04-01,สิงห์บุรี,0,17,0,17,0,0,2022-01-19 07:23:51
2021-04-01,สุพรรณบุรี,0,39,0,39,0,0,2022-01-19 07:23:51
2021-04-01,สุราษฎร์ธานี,0,30,0,27,0,0,2022-01-19 07:23:51
2021-04-01,สุรินทร์,0,14,0,13,0,1,2022-01-19 07:23:51
2021-04-01,สุโขทัย,0,5,0,4,0,0,2022-01-19 07:23:51
2021-04-01,หนองคาย,0,5,0,5,0,0,2022-01-19 07:23:51
2021-04-01,หนองบัวลำภู,0,5,0,5,0,0,2022-01-19 07:23:51
2021-04-01,อำนาจเจริญ,0,4,0,3,0,0,2022-01-19 07:23:51
2021-04-01,อุดรธานี,0,11,0,9,0,0,2022-01-19 07:23:51
2021-04-01,อุตรดิตถ์,0,6,0,5,0,0,2022-01-19 07:23:51
2021-04-01,อุทัยธานี,0,1,0,1,0,0,2022-01-19 07:23:51
2021-04-01,อุบลราชธานี,0,19,0,17,0,1,2022-01-19 07:23:51
2021-04-01,อ่างทอง,0,124,0,124,0,0,2022-01-19 07:23:51
2021-04-01,เชียงราย,0,74,0,10,0,0,2022-01-19 07:23:51
2021-04-01,เชียงใหม่,0,67,0,56,0,1,2022-01-19 07:23:51
2021-04-01,เพชรบุรี,0,92,0,92,0,0,2022-01-19 07:23:51
2021-04-01,เพชรบูรณ์,0,4,0,3,0,0,2022-01-19 07:23:51
2021-04-01,เลย,0,12,0,12,0,0,2022-01-19 07:23:51
2021-04-01,แพร่,0,1,0,1,0,0,2022-01-19 07:23:51
2021-04-01,แม่ฮ่องสอน,0,5,0,3,0,0,2022-01-19 07:23:51
2021-04-01,ไม่ระบุ,0,12,0,0,0,0,2022-01-19 07:23:51
2021-04-02,กระบี่,0,27,0,20,0,0,2022-01-19 07:23:51
2021-04-02,กรุงเทพมหานคร,24,4879,20,3505,0,35,2022-01-19 07:23:51
2021-04-02,กาญจนบุรี,0,16,0,14,0,0,2022-01-19 07:23:51
2021-04-02,กาฬสินธุ์,0,4,0,4,0,0,2022-01-19 07:23:51
2021-04-02,กำแพงเพชร,0,2,0,2,0,0,2022-01-19 07:23:51
2021-04-02,ขอนแก่น,0,20,0,19,0,0,2022-01-19 07:23:51
2021-04-02,จันทบุรี,0,224,0,223,0,1,2022-01-19 07:23:51
2021-04-02,ฉะเชิงเทรา,0,45,0,43,0,1,2022-01-19 07:23:51
2021-04-02,ชลบุรี,6,1501,0,733,0,5,2022-01-19 07:23:51
2021-04-02,ชัยนาท,0,11,0,11,0,0,2022-01-19 07:23:51
2021-04-02,ชัยภูมิ,0,11,0,10,0,0,2022-01-19 07:23:51
2021-04-02,ชุมพร,0,21,0,21,0,3,2022-01-19 07:23:51
2021-04-02,ตรัง,0,12,0,10,0,0,2022-01-19 07:23:51
2021-04-02,ตราด,0,33,0,33,0,0,2022-01-19 07:23:51
2021-04-02,ตาก,2,324,2,219,0,2,2022-01-19 07:23:51
2021-04-02,นครนายก,0,18,0,18,0,0,2022-01-19 07:23:51
2021-04-02,นครปฐม,0,193,0,189,0,1,2022-01-19 07:23:51
2021-04-02,นครพนม,0,3,0,3,0,0,2022-01-19 07:23:51
2021-04-02,นครราชสีมา,0,32,0,30,0,0,2022-01-19 07:23:51
2021-04-02,นครศรีธรรมราช,0,16,0,14,0,1,2022-01-19 07:23:51
2021-04-02,นครสวรรค์,0,15,0,11,0,0,2022-01-19 07:23:51
2021-04-02,นนทบุรี,5,465,3,344,0,3,2022-01-19 07:23:51
2021-04-02,นราธิวาส,0,68,0,22,0,2,2022-01-19 07:23:51
2021-04-02,น่าน,0,1,0,1,0,0,2022-01-19 07:23:51
2021-04-02,บึงกาฬ,0,0,0,0,0,0,2022-01-19 07:23:51
2021-04-02,บุรีรัมย์,0,15,0,11,0,1,2022-01-19 07:23:51
2021-04-02,ปทุมธานี,0,815,0,801,0,5,2022-01-19 07:23:51
2021-04-02,ประจวบคีรีขันธ์,0,25,0,13,0,2,2022-01-19 07:23:51
2021-04-02,ปราจีนบุรี,0,21,0,20,0,1,2022-01-19 07:23:51
2021-04-02,ปัตตานี,0,97,0,54,0,1,2022-01-19 07:23:51
2021-04-02,พระนครศรีอยุธยา,0,68,0,67,0,1,2022-01-19 07:23:51
2021-04-02,พะเยา,0,4,0,3,0,1,2022-01-19 07:23:51
2021-04-02,พังงา,0,2,0,2,0,0,2022-01-19 07:23:51
2021-04-02,พัทลุง,0,17,0,17,0,0,2022-01-19 07:23:51
2021-04-02,พิจิตร,0,10,0,9,0,1,2022-01-19 07:23:51
2021-04-02,พิษณุโลก,0,7,0,6,0,0,2022-01-19 07:23:51
2021-04-02,ภูเก็ต,0,231,0,212,0,3,2022-01-19 07:23:51
2021-04-02,มหาสารคาม,0,22,0,22,0,2,2022-01-19 07:23:51
2021-04-02,มุกดาหาร,0,6,0,6,0,0,2022-01-19 07:23:51
2021-04-02,ยะลา,0,147,0,89,0,2,2022-01-19 07:23:51
2021-04-02,ยโสธร,0,2,0,1,0,0,2022-01-19 07:23:51
2021-04-02,ระนอง,0,1,0,1,0,0,2022-01-19 07:23:51
2021-04-02,ระยอง,0,602,0,601,0,1,2022-01-19 07:23:51
2021-04-02,ราชบุรี,0,59,0,55,0,0,2022-01-19 07:23:51
2021-04-02,ร้อยเอ็ด,0,4,0,4,0,0,2022-01-19 07:23:51
2021-04-02,ลพบุรี,0,24,0,24,0,0,2022-01-19 07:23:51
2021-04-02,ลำปาง,0,7,0,7,0,0,2022-01-19 07:23:51
2021-04-02,ลำพูน,0,6,0,6,0,0,2022-01-19 07:23:51
2021-04-02,ศรีสะเกษ,0,9,0,8,0,0,2022-01-19 07:23:51
2021-04-02,สกลนคร,0,1,0,1,0,0,2022-01-19 07:23:51
2021-04-02,สงขลา,0,149,0,87,0,0,2022-01-19 07:23:51
2021-04-02,สตูล,0,24,0,2,0,0,2022-01-19 07:23:51
2021-04-02,สมุทรปราการ,6,822,5,504,0,4,2022-01-19 07:23:51
2021-04-02,สมุทรสงคราม,0,75,0,74,0,1,2022-01-19 07:23:51
2021-04-02,สมุทรสาคร,14,17148,14,17148,0,11,2022-01-19 07:23:51
2021-04-02,สระบุรี,0,23,0,22,0,0,2022-01-19 07:23:51
2021-04-02,สระแก้ว,0,15,0,9,0,0,2022-01-19 07:23:51
2021-04-02,สิงห์บุรี,0,17,0,17,0,0,2022-01-19 07:23:51
2021-04-02,สุพรรณบุรี,0,39,0,39,0,0,2022-01-19 07:23:51
2021-04-02,สุราษฎร์ธานี,0,30,0,27,0,0,2022-01-19 07:23:51
2021-04-02,สุรินทร์,0,14,0,13,0,1,2022-01-19 07:23:51
2021-04-02,สุโขทัย,0,5,0,4,0,0,2022-01-19 07:23:51
2021-04-02,หนองคาย,0,5,0,5,0,0,2022-01-19 07:23:51
2021-04-02,หนองบัวลำภู,0,5,0,5,0,0,2022-01-19 07:23:51
2021-04-02,อำนาจเจริญ,0,4,0,3,0,0,2022-01-19 07:23:51
2021-04-02,อุดรธานี,0,11,0,9,0,0,2022-01-19 07:23:51
2021-04-02,อุตรดิตถ์,0,6,0,5,0,0,2022-01-19 07:23:51
2021-04-02,อุทัยธานี,0,1,0,1,0,0,2022-01-19 07:23:51
2021-04-02,อุบลราชธานี,0,19,0,17,0,1,2022-01-19 07:23:51
2021-04-02,อ่างทอง,0,124,0,124,0,0,2022-01-19 07:23:51
2021-04-02,เชียงราย,0,74,0,10,0,0,2022-01-19 07:23:51
2021-04-02,เชียงใหม่,0,67,0,56,0,1,2022-01-19 07:23:51
2021-04-02,เพชรบุรี,0,92,0,92,0,0,2022-01-19 07:23:51
2021-04-02,เพชรบูรณ์,0,4,0,3,0,0,2022-01-19 07:23:51
2021-04-02,เลย,1,13,1,13,0,0,2022-01-19 07:23:51
2021-04-02,แพร่,0,1,0,1,0,0,2022-01-19 07:23:51
2021-04-02,แม่ฮ่องสอน,0,5,0,3,0,0,2022-01-19 07:23:51
2021-04-02,ไม่ระบุ,0,12,0,0,0,0,2022-01-19 07:23:51
2021-04-03,กระบี่,0,27,0,20,0,0,2022-01-19 07:23:51
2021-04-03,กรุงเทพมหานคร,41,4920,32,3537,1,36,2022-01-19 07:23:51
2021-04-03,กาญจนบุรี,0,16,0,14,0,0,2022-01-19 07:23:51
2021-04-03,กาฬสินธุ์,0,4,0,4,0,0,2022-01-19 07:23:51
2021-04-03,กำแพงเพชร,0,2,0,2,0,0,2022-01-19 07:23:51
2021-04-03,ขอนแก่น,0,20,0,19,0,0,2022-01-19 07:23:51
2021-04-03,จันทบุรี,0,224,0,223,0,1,2022-01-19 07:23:51
2021-04-03,ฉะเชิงเทรา,0,45,0,43,0,1,2022-01-19 07:23:51
2021-04-03,ชลบุรี,1,1502,1,734,0,5,2022-01-19 07:23:51
2021-04-03,ชัยนาท,0,11,0,11,0,0,2022-01-19 07:23:51
2021-04-03,ชัยภูมิ,0,11,0,10,0,0,2022-01-19 07:23:51
2021-04-03,ชุมพร,0,21,0,21,0,3,2022-01-19 07:23:51
2021-04-03,ตรัง,0,12,0,10,0,0,2022-01-19 07:23:51
2021-04-03,ตราด,0,33,0,33,0,0,2022-01-19 07:23:51
2021-04-03,ตาก,1,325,1,220,0,2,2022-01-19 07:23:51
2021-04-03,นครนายก,0,18,0,18,0,0,2022-01-19 07:23:51
2021-04-03,นครปฐม,5,198,5,194,0,1,2022-01-19 07:23:51
2021-04-03,นครพนม,0,3,0,3,0,0,2022-01-19 07:23:51
2021-04-03,นครราชสีมา,0,32,0,30,0,0,2022-01-19 07:23:51
2021-04-03,นครศรีธรรมราช,0,16,0,14,0,1,2022-01-19 07:23:51
2021-04-03,นครสวรรค์,0,15,0,11,0,0,2022-01-19 07:23:51
2021-04-03,นนทบุรี,4,469,4,348,0,3,2022-01-19 07:23:51
2021-04-03,นราธิวาส,1,69,1,23,0,2,2022-01-19 07:23:51
2021-04-03,น่าน,0,1,0,1,0,0,2022-01-19 07:23:51
2021-04-03,บึงกาฬ,0,0,0,0,0,0,2022-01-19 07:23:51
2021-04-03,บุรีรัมย์,0,15,0,11,0,1,2022-01-19 07:23:51
2021-04-03,ปทุมธานี,3,818,0,801,0,5,2022-01-19 07:23:51
2021-04-03,ประจวบคีรีขันธ์,0,25,0,13,0,2,2022-01-19 07:23:51
2021-04-03,ปราจีนบุรี,0,21,0,20,0,1,2022-01-19 07:23:51
2021-04-03,ปัตตานี,0,97,0,54,0,1,2022-01-19 07:23:51
2021-04-03,พระนครศรีอยุธยา,0,68,0,67,0,1,2022-01-19 07:23:51
2021-04-03,พะเยา,0,4,0,3,0,1,2022-01-19 07:23:51
2021-04-03,พังงา,0,2,0,2,0,0,2022-01-19 07:23:51
2021-04-03,พัทลุง,0,17,0,17,0,0,2022-01-19 07:23:51
2021-04-03,พิจิตร,0,10,0,9,0,1,2022-01-19 07:23:51
2021-04-03,พิษณุโลก,0,7,0,6,0,0,2022-01-19 07:23:51
2021-04-03,ภูเก็ต,0,231,0,212,0,3,2022-01-19 07:23:51
2021-04-03,มหาสารคาม,0,22,0,22,0,2,2022-01-19 07:23:51
2021-04-03,มุกดาหาร,0,6,0,6,0,0,2022-01-19 07:23:51
2021-04-03,ยะลา,2,149,0,89,0,2,2022-01-19 07:23:51
2021-04-03,ยโสธร,0,2,0,1,0,0,2022-01-19 07:23:51
2021-04-03,ระนอง,0,1,0,1,0,0,2022-01-19 07:23:51
2021-04-03,ระยอง,0,602,0,601,0,1,2022-01-19 07:23:51
2021-04-03,ราชบุรี,0,59,0,55,0,0,2022-01-19 07:23:51
2021-04-03,ร้อยเอ็ด,0,4,0,4,0,0,2022-01-19 07:23:51
2021-04-03,ลพบุรี,0,24,0,24,0,0,2022-01-19 07:23:51
2021-04-03,ลำปาง,0,7,0,7,0,0,2022-01-19 07:23:51
2021-04-03,ลำพูน,0,6,0,6,0,0,2022-01-19 07:23:51
2021-04-03,ศรีสะเกษ,0,9,0,8,0,0,2022-01-19 07:23:51
2021-04-03,สกลนคร,0,1,0,1,0,0,2022-01-19 07:23:51
2021-04-03,สงขลา,0,149,0,87,0,0,2022-01-19 07:23:51
2021-04-03,สตูล,0,24,0,2,0,0,2022-01-19 07:23:51
2021-04-03,สมุทรปราการ,5,827,4,508,0,4,2022-01-19 07:23:51
2021-04-03,สมุทรสงคราม,0,75,0,74,0,1,2022-01-19 07:23:51
2021-04-03,สมุทรสาคร,12,17160,12,17160,0,11,2022-01-19 07:23:51
2021-04-03,สระบุรี,0,23,0,22,0,0,2022-01-19 07:23:51
2021-04-03,สระแก้ว,0,15,0,9,0,0,2022-01-19 07:23:51
2021-04-03,สิงห์บุรี,0,17,0,17,0,0,2022-01-19 07:23:51
2021-04-03,สุพรรณบุรี,9,48,9,48,0,0,2022-01-19 07:23:51
2021-04-03,สุราษฎร์ธานี,0,30,0,27,0,0,2022-01-19 07:23:51
2021-04-03,สุรินทร์,0,14,0,13,0,1,2022-01-19 07:23:51
2021-04-03,สุโขทัย,0,5,0,4,0,0,2022-01-19 07:23:51
2021-04-03,หนองคาย,0,5,0,5,0,0,2022-01-19 07:23:51
2021-04-03,หนองบัวลำภู,0,5,0,5,0,0,2022-01-19 07:23:51
2021-04-03,อำนาจเจริญ,0,4,0,3,0,0,2022-01-19 07:23:51
2021-04-03,อุดรธานี,0,11,0,9,0,0,2022-01-19 07:23:51
2021-04-03,อุตรดิตถ์,0,6,0,5,0,0,2022-01-19 07:23:51
2021-04-03,อุทัยธานี,0,1,0,1,0,0,2022-01-19 07:23:51
2021-04-03,อุบลราชธานี,0,19,0,17,0,1,2022-01-19 07:23:51
2021-04-03,อ่างทอง,0,124,0,124,0,0,2022-01-19 07:23:51
2021-04-03,เชียงราย,0,74,0,10,0,0,2022-01-19 07:23:51
2021-04-03,เชียงใหม่,0,67,0,56,0,1,2022-01-19 07:23:51
2021-04-03,เพชรบุรี,0,92,0,92,0,0,2022-01-19 07:23:51
2021-04-03,เพชรบูรณ์,0,4,0,3,0,0,2022-01-19 07:23:51
2021-04-03,เลย,0,13,0,13,0,0,2022-01-19 07:23:51
2021-04-03,แพร่,0,1,0,1,0,0,2022-01-19 07:23:51
2021-04-03,แม่ฮ่องสอน,0,5,0,3,0,0,2022-01-19 07:23:51
2021-04-03,ไม่ระบุ,0,12,0,0,0,0,2022-01-19 07:23:51
2021-04-04,กระบี่,0,27,0,20,0,0,2022-01-19 07:23:51
2021-04-04,กรุงเทพมหานคร,41,4961,35,3572,0,36,2022-01-19 07:23:51
2021-04-04,กาญจนบุรี,0,16,0,14,0,0,2022-01-19 07:23:51
2021-04-04,กาฬสินธุ์,0,4,0,4,0,0,2022-01-19 07:23:51
2021-04-04,กำแพงเพชร,0,2,0,2,0,0,2022-01-19 07:23:51
2021-04-04,ขอนแก่น,2,22,2,21,0,0,2022-01-19 07:23:51
2021-04-04,จันทบุรี,0,224,0,223,0,1,2022-01-19 07:23:51
2021-04-04,ฉะเชิงเทรา,0,45,0,43,0,1,2022-01-19 07:23:51
2021-04-04,ชลบุรี,8,1510,7,741,0,5,2022-01-19 07:23:51
2021-04-04,ชัยนาท,0,11,0,11,0,0,2022-01-19 07:23:51
2021-04-04,ชัยภูมิ,0,11,0,10,0,0,2022-01-19 07:23:51
2021-04-04,ชุมพร,0,21,0,21,0,3,2022-01-19 07:23:51
2021-04-04,ตรัง,0,12,0,10,0,0,2022-01-19 07:23:51
2021-04-04,ตราด,0,33,0,33,0,0,2022-01-19 07:23:51
2021-04-04,ตาก,0,325,0,220,0,2,2022-01-19 07:23:51
2021-04-04,นครนายก,0,18,0,18,0,0,2022-01-19 07:23:51
2021-04-04,นครปฐม,3,201,3,197,0,1,2022-01-19 07:23:51
2021-04-04,นครพนม,0,3,0,3,0,0,2022-01-19 07:23:51
2021-04-04,นครราชสีมา,0,32,0,30,0,0,2022-01-19 07:23:51
2021-04-04,นครศรีธรรมราช,0,16,0,14,0,1,2022-01-19 07:23:51
2021-04-04,นครสวรรค์,0,15,0,11,0,0,2022-01-19 07:23:51
2021-04-04,นนทบุรี,2,471,2,350,0,3,2022-01-19 07:23:51
2021-04-04,นราธิวาส,1,70,1,24,0,2,2022-01-19 07:23:51
2021-04-04,น่าน,0,1,0,1,0,0,2022-01-19 07:23:51
2021-04-04,บึงกาฬ,0,0,0,0,0,0,2022-01-19 07:23:51
2021-04-04,บุรีรัมย์,0,15,0,11,0,1,2022-01-19 07:23:51
2021-04-04,ปทุมธานี,2,820,2,803,0,5,2022-01-19 07:23:51
2021-04-04,ประจวบคีรีขันธ์,0,25,0,13,0,2,2022-01-19 07:23:51
2021-04-04,ปราจีนบุรี,0,21,0,20,0,1,2022-01-19 07:23:51
2021-04-04,ปัตตานี,0,97,0,54,0,1,2022-01-19 07:23:51
2021-04-04,พระนครศรีอยุธยา,1,69,1,68,0,1,2022-01-19 07:23:51
2021-04-04,พะเยา,0,4,0,3,0,1,2022-01-19 07:23:51
2021-04-04,พังงา,0,2,0,2,0,0,2022-01-19 07:23:51
2021-04-04,พัทลุง,0,17,0,17,0,0,2022-01-19 07:23:51
2021-04-04,พิจิตร,0,10,0,9,0,1,2022-01-19 07:23:51
2021-04-04,พิษณุโลก,0,7,0,6,0,0,2022-01-19 07:23:51
2021-04-04,ภูเก็ต,0,231,0,212,0,3,2022-01-19 07:23:51
2021-04-04,มหาสารคาม,0,22,0,22,0,2,2022-01-19 07:23:51
2021-04-04,มุกดาหาร,0,6,0,6,0,0,2022-01-19 07:23:51
2021-04-04,ยะลา,2,151,0,89,0,2,2022-01-19 07:23:51
2021-04-04,ยโสธร,0,2,0,1,0,0,2022-01-19 07:23:51
2021-04-04,ระนอง,0,1,0,1,0,0,2022-01-19 07:23:51
2021-04-04,ระยอง,0,602,0,601,0,1,2022-01-19 07:23:51
2021-04-04,ราชบุรี,0,59,0,55,0,0,2022-01-19 07:23:51
2021-04-04,ร้อยเอ็ด,0,4,0,4,0,0,2022-01-19 07:23:51
2021-04-04,ลพบุรี,0,24,0,24,0,0,2022-01-19 07:23:51
2021-04-04,ลำปาง,0,7,0,7,0,0,2022-01-19 07:23:51
